monotonic_seconds	utc	http_code	time_seconds
1348489.06	2026-07-20T03:26:24.695Z	200	0.001663
1348489.18	2026-07-20T03:26:24.807Z	200	0.001524
1348489.29	2026-07-20T03:26:24.919Z	200	0.001826
1348489.41	2026-07-20T03:26:25.037Z	200	0.007821
1348489.52	2026-07-20T03:26:25.153Z	200	0.005225
1348489.64	2026-07-20T03:26:25.265Z	200	0.001866
1348489.75	2026-07-20T03:26:25.379Z	200	0.002324
1348489.86	2026-07-20T03:26:25.490Z	200	0.001425
1348489.97	2026-07-20T03:26:25.603Z	200	0.001692
1348490.08	2026-07-20T03:26:25.715Z	200	0.001614
1348490.20	2026-07-20T03:26:25.830Z	200	0.004030
1348490.31	2026-07-20T03:26:25.942Z	200	0.001710
1348490.42	2026-07-20T03:26:26.054Z	200	0.001654
1348490.54	2026-07-20T03:26:26.167Z	200	0.001944
1348490.65	2026-07-20T03:26:26.281Z	200	0.002580
1348490.76	2026-07-20T03:26:26.393Z	200	0.001743
1348490.88	2026-07-20T03:26:26.507Z	200	0.002233
1348490.99	2026-07-20T03:26:26.620Z	200	0.002416
1348491.10	2026-07-20T03:26:26.733Z	200	0.002148
1348491.22	2026-07-20T03:26:26.849Z	200	0.004907
1348491.33	2026-07-20T03:26:26.962Z	200	0.002204
1348491.50	2026-07-20T03:26:27.127Z	200	0.053962
1348491.66	2026-07-20T03:26:27.288Z	200	0.049577
1348491.82	2026-07-20T03:26:27.450Z	200	0.050178
1348491.98	2026-07-20T03:26:27.608Z	200	0.047954
1348492.10	2026-07-20T03:26:27.727Z	200	0.007765
1348492.21	2026-07-20T03:26:27.842Z	200	0.004546
1348492.33	2026-07-20T03:26:27.957Z	200	0.003522
1348492.46	2026-07-20T03:26:28.093Z	200	0.026426
1348492.68	2026-07-20T03:26:28.311Z	200	0.107014
1348492.80	2026-07-20T03:26:28.429Z	200	0.006349
1348492.91	2026-07-20T03:26:28.542Z	200	0.002369
1348493.03	2026-07-20T03:26:28.656Z	200	0.002872
1348493.14	2026-07-20T03:26:28.769Z	200	0.002523
1348493.25	2026-07-20T03:26:28.881Z	200	0.002787
1348493.36	2026-07-20T03:26:28.995Z	200	0.002701
1348493.48	2026-07-20T03:26:29.108Z	200	0.002680
1348493.59	2026-07-20T03:26:29.221Z	200	0.002139
1348493.70	2026-07-20T03:26:29.335Z	200	0.002672
1348493.82	2026-07-20T03:26:29.453Z	200	0.008297
1348493.94	2026-07-20T03:26:29.567Z	200	0.002732
1348494.05	2026-07-20T03:26:29.680Z	200	0.002779
1348494.16	2026-07-20T03:26:29.793Z	200	0.003123
1348494.28	2026-07-20T03:26:29.905Z	200	0.001832
1348494.40	2026-07-20T03:26:30.025Z	200	0.009114
